ID,title,year,director(s),writer(s),actor(s)
8241,Every Which Way But Loose,1978,James Fargo,Jeremy Joe Kronsberg,Clint Eastwood;Sondra Locke;Beverly D'Angelo;Geoffrey Lewis
8242,,,,,
8243,The Crimson Circle,1936,Reginald Denham,Edgar Wallace,Hugh Wakefield;Alfred Drayton;Niall MacGinnis;June Duprez
8244,,,,,
8245,1911,2011,Jackie Chan;Zhang Li,Wang Xing-Dong;Chen Bao-Guang,Jackie Chan;Li Bingbing;Joan Chen;Jaycee Chan
8246,The Brothers Lionheart,1977,Olle Hellbom,Astrid Lindgren,Staffan Götestam;Lars Söderdahl;Allan Edwall;Gunn Wållgren
8247,Father Hood,1993,Darrell James Roodt,Scott Spencer,Patrick Swayze;Halle Berry;Sabrina Lloyd;Brian Bonsall
8248,The Brides Are Coming,1978,Emir Kusturica,Ivica Matić,
8249,The Black Monk,1900,Ivan Dykhovichnyy,,
8250,Hello and Goodbye,1972,Vitali Melnikov,Viktor Merezhko,Lyudmila Zaytseva;Oleg Efremov;Mikhail Kononov;Natalya Gundareva
8251,,,,,
8252,The Green Van,1983,Aleksandr Pavlovskiy ,Aleksandr Kozachinsky;Igor Shevtsov,Dmitriy Kharatyan;Borislav Brondukov;Aleksandr Demyanenko;Aleksandr Solovyov
8253,Married Bachelor,1982,Vladimir Rogovoy,Anatoli Shajkevich,Larisa Udovichenko;Yuriy Grigorev;Baadur Tsuladze;Vera Vasileva
8254,,,,,
8255,Private Life,1982,Yuli Raizman,,
8256,Vozvrashcheniye bronenostsa,1900,Gennadi Poloka,,
8257,,,,,
8258,,,,,
8259,,,,,
8260,Maria and Mirabella in Transistorland,1989,Ion Popescu-Gopo,Ion Popescu-Gopo;Valentin Ezhov,Ioana Moraru;Stela Popescu;Andrianu Kuchinska;Grigore Grigoriu
8261,Wielka podróż Bolka i Lolka,1977,,,
8262,Veronica Returns,1973,Elisabeta Bostan,,Lulu Mihăescu;Margareta Pâslaru;Dem Radulescu
8263,HealtH,1980,Robert Altman,,Carol Burnett;Lauren Bacall;Glenda Jackson;James Garner
8264,Sherlock Holmes: The Sign Of Four,1987,Peter Hammond,,Jeremy Brett;Edward Hardwicke
8265,The Saint Lies In Wait,1900,Christian-Jaque,,Jean Marais;Jess Hahn;Jean Yanne;Danièle Evenou
8266,Walking Down the Place of a Skull,1992,Isaak Fridberg,,
8267,Bluzhdayushchiye Zvyozdy,1991,Vsevolod Shilovsky,,Irina Latchina;Mamuka Kikaleishvili;Sofiko Chiaureli;Olga Kabo
8268,Friend,1987,Leonid Kvinikhidze,,Sergey Shakurov;Vasili Livanov;Anatoli Romashin;Yelena Solovey
8269,Gangsters of the Ocean,1991,Stepan Puchinyan,,
8270,The Path Towards Uninterested Love,1972,Agasi Babayan,,
8271,Акселератка,1987,Aleksei Korenev,Dmitri Ivanov;Vladimir Trifonov,Irina Shmeleva;Roman Filippov;Galina Polskikh;Pyotr Merkuryev
8272,Lyumi,1991,Vladimir Bragin,Vladimir Bragin,Andrei Shcherbovich-Vecher;Vita Grebneva;Nadezhda Butyrtseva;Aleksandr Potapov
8273,,,,,
8274,Ded Moroz i seriy volk,1978,Vitold Bordzilovsky,,
8275,Jack & Me,1973,,,
8276,The Black Hen or Living Underground,1982,Viktor Gres,,
8277,Diamonds for the Dictatorship of the Proletariat,1977,Grigori Kromanov,,
8278,Heimat 2: A Chronicle of a Generation,1992,Edgar Reitz,,Henry Arnold;Salome Kammer;Anke Sevenich;Frank Röth
8279,Gruz Bez Markirovki,1984,Vladimir Popkov,,Aleksey Gorbunov;Arnis Licitis;Vladislav Galkin;Yuriy Grigorev
8280,A Strange Woman,1977,Yuli Raizman,Yevgeni Gabrilovich,Irina Kupchenko;Vasili Lanovoy
8281,Adam's Rib,1990,Vyacheslav Krishtofovich,Anatoli Kurchatkin;Vladimir Kunin;Vyacheslav Krishtofovich,Inna Churikova;Svetlana Ryabova;Andrei Tolubeyev;Igor Kvasha
8282,HealtH,1980,Robert Altman,,Carol Burnett;Lauren Bacall;Glenda Jackson;James Garner
8283,Sherlock Holmes: The Sign Of Four,1987,Peter Hammond,,Jeremy Brett;Edward Hardwicke
8284,The Saint Lies In Wait,1900,Christian-Jaque,,Jean Marais;Jess Hahn;Jean Yanne;Danièle Evenou
8285,Walking Down the Place of a Skull,1992,Isaak Fridberg,,
8286,Bluzhdayushchiye Zvyozdy,1991,Vsevolod Shilovsky,,Irina Latchina;Mamuka Kikaleishvili;Sofiko Chiaureli;Olga Kabo
8287,Marauders,1986,Mark Savage,,
8288,Call Center,1900,,,Aris Alvarado;Brian Kimmet;Sunil Malhotra
8289,Osvobozhdenie: Napravleniye glavnogo udara,1971,,,Mikhail Ulyanov
8290,,,,,
8291,Banana Paradise,1989,Tung Wang,,Doze Niu;Shih Chang;Wen Ying;Zeng Qingyu
8292,The Bodyguard,1979,Ali Khamrayev,Ali Khamrayev,
8293,A Little Doll,1988,Isaak Fridberg,Igor Ageev,Svetlana Zasypkina;Vladimir Menshov;Irina Metlitskaya;Natalya Nazarova
8294,There Were Three Bachelors,1973,Mikhail Grigoryev,Pavel Siluyanov,Vsevolod Abdulov;Vladimir Nosik;Mikhail Polyak;Svetlana Kryuchkova
8295,Dvadtsat shest dney iz zhizni Dostoevskogo,1900,,,
8296,Шапка,1990,,,
8297,Assassin of the Tsar,1991,Karen Shakhnazarov,Aleksandr Borodyanskiy;Karen Shakhnazarov,Malcolm McDowell;Oleg Yankovskiy;Armen Dzhigarkhanyan;Yuriy Sherstnyov
8298,Balance,1989,Christoph Lauenstein;Wolfgang Lauenstein,,
8299,Luna Park,1992,Pavel Lungin,Pavel Lungin,
8300,The Most Wonderful Evening of My Life,1972,Ettore Scola,Ettore Scola;Sergio Amidei,Alberto Sordi;Charles Vanel;Claude Dauphin;Janet Agren
8301,About Sidorov Vova,1985,Eduard Nazarov,,
8302,Oslinaya shkura,1982,Nadezhda Kosheverova,,Vladimir Etush
8303,Zabavy Molodykh,1987,Yevgeni Gerasimov,,Stanislav Lyubshin;Marina Zudina;Nina Ruslanova;Valentina Telichkina
8304,Gruz Bez Markirovki,1984,Vladimir Popkov,,Aleksey Gorbunov;Arnis Licitis;Vladislav Galkin;Yuriy Grigorev
8305,Heimat 2: A Chronicle of a Generation,1992,Edgar Reitz,,Henry Arnold;Salome Kammer;Anke Sevenich;Frank Röth
8306,The Saint Lies In Wait,1900,Christian-Jaque,,Jean Marais;Jess Hahn;Jean Yanne;Danièle Evenou
8307,Marauders,1986,Mark Savage,,
8308,Bluzhdayushchiye Zvyozdy,1991,Vsevolod Shilovsky,,Irina Latchina;Mamuka Kikaleishvili;Sofiko Chiaureli;Olga Kabo
8309,Vertical Races,1982,Aleksandr Muratov,Arkadiy Vayner;Georgiy Vayner,Andrey Myagkov;Valentin Gaft;Galina Polskikh;Stanislav Chekan
8310,The Return to 'A',1900,Egor Konchalovskiy,,
8311,The Black Monk,1900,Ivan Dykhovichnyy,,
8312,,,,,
8313,,,,,
8314,The Green Van,1983,Aleksandr Pavlovskiy ,Aleksandr Kozachinsky;Igor Shevtsov,Dmitriy Kharatyan;Borislav Brondukov;Aleksandr Demyanenko;Aleksandr Solovyov
8315,Vozvrashcheniye bronenostsa,1900,Gennadi Poloka,,
8316,Private Life,1982,Yuli Raizman,,
8317,,,,,
8318,The Brides Are Coming,1978,Emir Kusturica,Ivica Matić,
8319,Hello and Goodbye,1972,Vitali Melnikov,Viktor Merezhko,Lyudmila Zaytseva;Oleg Efremov;Mikhail Kononov;Natalya Gundareva
8320,Married Bachelor,1982,Vladimir Rogovoy,Anatoli Shajkevich,Larisa Udovichenko;Yuriy Grigorev;Baadur Tsuladze;Vera Vasileva
8321,Wielka podróż Bolka i Lolka,1977,,,
8322,Maria and Mirabella in Transistorland,1989,Ion Popescu-Gopo,Ion Popescu-Gopo;Valentin Ezhov,Ioana Moraru;Stela Popescu;Andrianu Kuchinska;Grigore Grigoriu
8323,Rich Man, Poor Man...,1982,Arūnas Žebriūnas,Saulius Tomas Kondrotas;Irwin Shaw,Georgi Taratorkin;Regimantas Adomaitis;Nelli Savichenko;Liubomiras Laucevicius
8324,,,,,
8325,Peacetime,1980,László Vitézy,Györgyi Szalai;László Vitéz,Béla Czink;András Fekete;Lajos Bödő;Lajos Kiss
8326,Remember Your Name,1974,Sergei Kolosov,Ernest Bryll;Janusz Krasinski;Sergei Kolosov,Lyudmila Kasatkina;Lyudmila Ivanova;Vladimir Ivashov;Yana Poplavskaya
8327,Novios de la muerte,1975,Rafael Gil,,Juan Luis Galiardo;Julián Mateos;Ramiro Oliveros;José Nieto
8328,,,,,
8329,Oysters from Lausanne,1992,Vladimir Shamshurin,Aleksei Timm,Aleksandr Pankratov-Chyornyy;Vera Glagoleva;Vladimir Ilin;Sergei Stepanchenko
8330,,,,,
8331,,,,,
8332,The Kidnapping of a Wizard,1989,Viktor Kobzev,,Yuliya Aug;Romualdas Ramanauskas;Sergei Varchuk;Vladimir Gostyukhin
8333,,,,,
8334,Okhota,1979,,,
8335,Arabesques on the Pirosmani Theme,1985,Sergei Parajanov,,
8336,Граница: Таежный роман,1900,,,
8337,Желтый карлик,1900,,,
8338,Граница: Таежный роман,1900,,,
8339,Желтый карлик,1900,,,
8340,When Almonds Blossomed,1972,Lana Gogoberidze,,
8341,,,,,
8342,The Ring of Queen Ann,1971,Maria Kaniewska,,Wanda Bajerówna;Bogusz Bilewski;Jerzy Block;Emir Buczacki
8343,,,,,
8344,Golden Mine,1977,Yevgeni Tatarsky,Pavel Grakhov;Artur Makarov,Mikhail Gluzskiy;Yevgeni Kindinov;Oleg Dal;Larisa Udovichenko
8345,,,,,
8346,Yya-Khkha!,1986,Rashid Nugmanov,,Boris Grebenshchikov;Константин Кинчев;Igor Mossin
8347,Arabesques on the Pirosmani Theme,1985,Sergei Parajanov,,
8348,,,,,
8349,Oysters from Lausanne,1992,Vladimir Shamshurin,Aleksei Timm,Aleksandr Pankratov-Chyornyy;Vera Glagoleva;Vladimir Ilin;Sergei Stepanchenko
8350,Rich Man, Poor Man...,1982,Arūnas Žebriūnas,Saulius Tomas Kondrotas;Irwin Shaw,Georgi Taratorkin;Regimantas Adomaitis;Nelli Savichenko;Liubomiras Laucevicius
8351,,,,,
8352,,,,,
8353,Акселератка,1987,Aleksei Korenev,Dmitri Ivanov;Vladimir Trifonov,Irina Shmeleva;Roman Filippov;Galina Polskikh;Pyotr Merkuryev
8354,Стакан воды,1979,Yuli Karasik,Eugène Scribe,Kirill Lavrov;Natalya Belokhvostikova;Alla Demidova;Svetlana Smirnova
8355,Старомодная комедия,1980,Эра Савельева,Татьяна Березанцева;Эра Савельева,Igor Vladimirov
8356,The Waltz on the Petschora,1992,Lana Gogoberidze,,
8357,Termini Station,1989,Allan King,,Megan Follows;Colleen Dewhurst;Debra McGrath;Norma Dell'Agnese
8358,The House Of The Demon,1900,,,
8359,Lars and the Real Girl,2007,Craig Gillespie,Nancy Oliver,Ryan Gosling;Emily Mortimer;Paul Schneider;Kelli Garner
8360,Another 9 1/2 Weeks,1997,Anne Goursaud,Mick Davis,Mickey Rourke;Agathe de La Fontaine;Angie Everhart;Steven Berkoff
8361,Muck,2015,Steve Wolsh,Steve Wolsh,Lachlan Buchanan;Puja Mohindra;Bryce Draper;Stephanie Danielsen
8362,Blood and Chocolate,2007,Katja von Garnier,Ehren Kruger;Christopher B. Landon;Annette Curtis Klause,Agnes Bruckner;Hugh Dancy;Katja Riemann;Olivier Martinez
8363,Toilet Stories,2015,Sören Hüper;Christian Prettin,Christian Prettin;Sören Hüper,Rudolf Waldemar Brem;Huseyin Ekici;Marie-Anne Fliegel;Markus Frank
8364,Barbie: A Fashion Fairytale,2010,William Lau,Elise Allen,Diana Kaarina;Adrian Petriw;Tabitha St. Germain;Patricia Drake
8365,Red Riding: In the Year of Our Lord 1983,2009,Anand Tucker,David Peace;Tony Grisoni,David Morrissey;Lisa Howard;Chris Walker;Shaun Dooley
8366,Mummies: Secrets of the Pharaohs,2007,Keith Melton,Arabella Cecil,Elana Drago;William Hope;Nasser Memarzia;Crispin Redman
8367,Cowgirls n' Angels,2012,Timothy Armstrong,Timothy Armstrong;Stephan Blinn,Alicia Witt;Jackson Rathbone;James Cromwell;Andrew Sensenig
8368,Hello, Dolly!,1969,Gene Kelly,,Barbra Streisand;Walter Matthau;Michael Crawford;Louis Armstrong
8369,The Newton Boys,1998,Richard Linklater,Richard Linklater;Claude Stanush;Clark Walker,Matthew McConaughey;Skeet Ulrich;Ethan Hawke;Vincent D'Onofrio
8370,Infini,2015,Shane Abbess,Shane Abbess;Brian Cachia,Daniel MacPherson;Grace Huang;Luke Hemsworth;Bren Foster
8371,Born To Race,2011,Alex Ranarivelo,Steve Sarno;Alex Ranarivelo;Ali Afshar,Joseph Cross;John Pyper-Ferguson;Brando Eaton;Nicole Badaan
8372,God is an artist,2015,Dustin Guy Defa,,
8373,I feel I’m actually a man,2015,,,
8374,Repo Man,1984,Alex Cox,Alex Cox,Harry Dean Stanton;Emilio Estevez;Tracey Walter;Olivia Barash
8375,The Diamond Arm,1968,Leonid Gayday ,Moris Slobodskoy;Yakov Kostyukovskiy;Leonid Gayday ,Yuriy Nikulin;Andrey Mironov;Anatoli Papanov;Nina Grebeshkova
8376,Mean Girls 2,2011,Melanie Mayron,Elana Lesser;Cliff Ruby;Cliff Ruby;Allison Schroeder,Jennifer Stone;Maiara Walsh;Nicole Gale Anderson;Tim Meadows
8377,Columbus Circle,2012,George Gallo,,Selma Blair;Jason Lee;Amy Smart;Giovanni Ribisi
8378,Adventures of Omanakuttan,2015,Rohith V S,Sameer Abdul;Sameer Abdul,Asif Ali;Bhavana;Aju Varghese
8379,Tess,1979,Roman Polanski,Roman Polanski;Gérard Brach,Nastassja Kinski;Peter Firth;Leigh Lawson;John Collin
8380,The Sons of Katie Elder,1965,Henry Hathaway,William H. Wright;Allan Weiss;Harry Essex;Talbot Jennings,John Wayne;Dean Martin;Martha Hyer;Michael Anderson Jr.
8381,The Fast and the Furious,2001,Rob Cohen,Ken Li;Gary Scott Thompson;Erik Bergquist;David Ayer,Vin Diesel;Paul Walker;Michelle Rodriguez;Jordana Brewster
8382,Hunter Prey,2009,Sandy Collora,Nick Damon;Sandy Collora,Isaac C. Singleton Jr.;Clark Bartram;Damion Poitier;Simon Potter
8383,Jungle Fever,1991,Spike Lee,Spike Lee,Spike Lee;Annabella Sciorra;Ruby Dee;John Turturro
8384,I Am Chris Farley,2015,Brent Hodge;Derik Murray,,Chris Farley;David Spade;Pat Finn;Bo Derek
8385,Sniper: Legacy,2014,Don Michael Paul,John Fasano;Don Michael Paul,Tom Berenger;Chad Michael Collins;Dennis Haysbert;Asen Asenov
8386,A Guy Thing,2003,Chris Koch,Greg Glienna;Pete Schwaba;Matt Tarses;Bill Wrubel,Jason Lee;Julia Stiles;Selma Blair;James Brolin
8387,Fanny Hill,1983,Gerry O'Hara,Stephen Chesley;John Cleland,Lisa Foster;Oliver Reed;Wilfrid Hyde-White;Shelley Winters
8388,The Land Before Time XI: Invasion of the Tinysauruses,2005,Charles Grosvenor,John Loy,Aaron Spann;Jeff Bennett;Aria Curzon;Michael Clarke Duncan
8389,City Island,2009,Raymond De Felitta,Raymond De Felitta,Andy García;Julianna Margulies;Steven Strait;Dominik García-Lorido
8390,Kull the Conqueror,1997,John Nicolella,Charles Edward Pogue,Kevin Sorbo;Tia Carrere;Thomas Ian Griffith;Litefoot
8391,The Man Who Cried,2000,Sally Potter,Sally Potter,Christina Ricci;Johnny Depp;Cate Blanchett;John Turturro
8392,Dil Dhadakne Do,2015,Zoya Akhtar,Farhan Akhtar;Javed Akhtar,Anil Kapoor;Priyanka Chopra;Shefali Shah;Ranveer Singh
8393,Monkey Shines,1988,George A. Romero,George A. Romero;Michael Stewart,Jason Beghe;John Pankow;Kate McNeil;Joyce Van Patten
8394,Mike Tyson: Undisputed Truth,2013,Spike Lee,Kiki Tyson,Mike Tyson
8395,Point Blank,2010,Fred Cavayé,Fred Cavayé;Guillaume Lemans,Gérard Lanvin;Roschdy Zem;Elena Anaya;Gilles Lellouche
8396,Equals,2015,Drake Doremus,Nathaniel Parker,Kristen Stewart;Nicholas Hoult;Guy Pearce;Jacki Weaver
8397,I Love Trouble,1994,Charles Shyer,Charles Shyer;Nancy Meyers,Nick Nolte;Saul Rubinek;James Rebhorn;Julia Roberts
8398,Kickboxer 2:  The Road Back,1991,Albert Pyun,David S. Goyer,Sasha Mitchell;Peter Boyle;Dennis Chan;Cary-Hiroyuki Tagawa
8399,Lucky Numbers,2000,Nora Ephron,Adam Resnick,John Travolta;Lisa Kudrow;Tim Roth;Ed O'Neill
8400,Knock on Wood,1981,Francis Veber,Francis Veber,Pierre Richard;Gérard Depardieu;Pedro Armendáriz Jr.;Maritza Olivares
8401,Demon,2015,Marcin Wrona,,Itay Tiran;Tomasz Schuchardt
8402,Devil's Playground,2010,Mark McQueen,Bart Ruspoli,MyAnna Buring;Danny Dyer;Craig Fairbrass;Sean Pertwee
8403,Rab Jad Nak,2011,Phongsakon Chubua,,Cheery Sarmkoke;New Thunyamon;Cherry Samkok;New Thanya
8404,The Way We Were,1973,Sydney Pollack,Arthur Laurents,Barbra Streisand;Robert Redford;Bradford Dillman;Lois Chiles
8405,Diet of Sex,2014,Borja Brun,Mighello Blanco,Alberto Casqueiro;Antón Lamapereira;Che Mariño;Raquel Martínez
8406,Critters 3: You Are What They Eat,1991,Kristine Peterson,David Schow,John Calvin;Aimee Brooks;Christian Cousins;Leonardo DiCaprio
8407,Darling,2015,Mickey Keating,Mickey Keating,Sean Young;Larry Fessenden;Lauren Ashley Carter;Helen Rogers
8408,The Better Angels,2014,A.J. Edwards,A.J. Edwards,Diane Kruger;Jason Clarke;Brit Marling;Wes Bentley
8409,Kuch Kuch Hota Hai,1998,Karan Johar,Karan Johar,Shahrukh Khan;Kajol;Rani Mukerji;Salman Khan
8410,Freaked,1993,Alex Winter;Tom Stern,Tim Burns;Tom Stern;Alex Winter,Brooke Shields;William Sadler;Alex Winter;Randy Quaid
8411,Krrish,2006,Rakesh Roshan,,Hrithik Roshan;Priyanka Chopra;Rekha;Naseeruddin Shah
8412,Hidden Away,2014,Mikel Rueda,,Germán Alcarazu;Adil Koukouh;Ana Wagener;Álex Angulo
8413,Just Add Water,2008,Hart Bochner,Hart Bochner,Dylan Walsh;Danny DeVito;Justin Long;Jonah Hill
8414,The New York Ripper,1982,Lucio Fulci,Lucio Fulci;Gianfranco Clerici;Vincenzo Mannino;Dardano Sacchetti,Jack Hedley;Antonella Interlenghi;Howard Ross;Andrea Occhipinti
8415,Saludos Amigos,1942,Wilfred Jackson,,José Oliveira;Fred Shields;Pinto Colvig;Walt Disney
8416,Blue Thunder,1983,John Badham,Don Jakoby,Roy Scheider;Warren Oates;Candy Clark;Malcolm McDowell
8417,Journey 3: From the Earth to the Moon,2016,Brad Peyton,Brian Gunn;Mark Gunn,
8418,The PBA: A Nation's Passion,2015,,Bill Velasco,Atoy Co;Benjie Paras;Alvin Patrimonio;Robert Jaworksi
8419,Krippendorf's Tribe,1998,Todd Holland,,Richard Dreyfuss;Jenna Elfman;Zakes Mokae;Siobhan Fallon
8420,The Great Buck Howard,2008,Sean McGinly,Sean McGinly,John Malkovich;Colin Hanks;Emily Blunt;Ricky Jay
8421,Regarding Susan Sontag,2014,Nancy Kates,John Haptas;Nancy Kates,Patricia Clarkson
8422,The Professional,1981,Georges Lautner,Patrick Alexander;Michel Audiard;Georges Lautner,Jean-Paul Belmondo;Robert Hossein;Elisabeth Margoni;Jean-Louis Richard
8423,Stick It,2006,Jessica Bendinger,Jessica Bendinger,Jeff Bridges;Missy Peregrym;Vanessa Lengies;Maddy Curley
8424,Hördur - Between the Worlds,2015,Ekrem Ergün,Dorothea Nölle,Almila Bagriacik;Felicitas Woll;Hilmi Sözer;Fabio Seyding
8425,My Teacher's Wife,1999,Bruce Leddy,Seth Greenland,Jason London;Tia Carrere;Alexondra Lee;Zak Orth
8426,Five Minarets in New York,2010,Mahsun Kirmizigül,Mahsun Kirmizigül,Haluk Bilginer;Danny Glover;Gina Gershon;Robert Patrick
8427,港囧,2015,,,Zheng Xu;Zhao Wei;包贝尔;包贝尔
8428,Mat Franco's Got Magic,2015,,,Mat Franco
8429,Black Robe,1991,Bruce Beresford,Brian Moore,Lothaire Bluteau;Aden Young;Sandrine Holt;August Schellenberg
8430,The Commitments,1991,Alan Parker,Dick Clement;Ian La Frenais;Roddy Doyle,Robert Arkins;Michael Aherne;Angeline Ball;Maria Doyle Kennedy
8431,Cheap Thrills,2013,E.L. Katz,David Chirchirillo;Trent Haaga,Pat Healy;Ethan Embry;Sara Paxton;David Koechner
8432,Pusher II: With Blood on My Hands,2004,Nicolas Winding Refn,Nicolas Winding Refn,Mads Mikkelsen;Leif Sylvester;Kurt Nielsen;Anne Sørensen
8433,Bad Asses on the Bayou,2015,Craig Moss,Craig Moss,Danny Trejo;Danny Glover;John Amos;Loni Love
8434,Dr. Dolittle 3,2006,Rich Thorne,,Kyla Pratt;Kristen Wilson;Tara Wilson;Walker Howard
8435,The Toxic Avenger,1984,Lloyd Kaufman;Michael Herz,Lloyd Kaufman;Joe Ritter,Mitch Cohen;Andree Maranda;Jennifer Prichard;Cindy Manion
8436,Hallåhallå,2014,Maria Blom,Maria Blom,Maria Sid;Johan Holmberg;Tina Råborg;Carl Jacobson
8437,Hubble 3D,2010,Toni Myers,Toni Myers;Frank Summers;Graeme Ferguson,Leonardo DiCaprio
8438,Joe Kidd,1972,John Sturges,Elmore Leonard,Clint Eastwood;Robert Duvall;John Saxon;Don Stroud
8439,The Empire Symbol,2013,Lee Tso-Nam;Yu Junhao;Tang Weiwen,Yu Junhao,Pan Yue-Ming;Annie Shizuka Inoh;Hu Ke;Yu Junhao
8440,The Ballad of Cable Hogue,1970,Sam Peckinpah,John Crawford;Edmund Penney;Gordon T. Dawson,Jason Robards;Stella Stevens;David Warner;Slim Pickens
8441,Private Popsicle,1983,Boaz Davidson,Boaz Davidson;Eli Tavor,Yftach Katzur;Zachi Noy;Jonathan Sagall;Sonja Martin
8442,Boo,2005,Anthony C. Ferrante,,Jilon Ghai;Happy Mahaney;Nicole Rayburn;Josh Holt
8443,Swerve,2012,Craig Lahiff,Craig Lahiff,Jason Clarke;Emma Booth;David Lyons;Travis McMahon
8444,My Golden Days,2015,Arnaud Desplechin,Arnaud Desplechin;Julie Peyr,Mathieu Amalric;Lou Roy-Lecollinet;Quentin Dolmaire;Léonard Matton
8445,Cut Snake,2015,Tony Ayres,Blake Ayshford,Sullivan Stapleton;Jessica De Gouw;Alex Russell;Richard Anastasios
8446,The Wash,2001,DJ Pooh,,Dr. Dre;Snoop Dogg;DJ Pooh;Angell Conwell
8447,The Last Picture Show,1971,Peter Bogdanovich,Larry McMurtry,Timothy Bottoms;Jeff Bridges;Cybill Shepherd;Ben Johnson
8448,The English Teacher,2013,Craig Zisk,Stacy Chariton;Dan Chariton,Julianne Moore;Michael Angarano;Greg Kinnear;Lily Collins
8449,National Lampoon Presents Dorm Daze,2003,David Hillenbrand;Scott Hillenbrand,Patrick Casey;Worm Miller,Tatyana Ali;Boti Bliss;Gable Carr;Patrick Cavanaugh
8450,Into the Blue 2: The Reef,2009,Stephen Herek,Mitchell Kapner,Chris Carmack;Laura Vandervoort;Audrina Patridge;Marsha Thomason
8451,Fantastic Voyage,1966,Richard Fleischer,David Duncan;Otto Klement;Jerome Bixby,Stephen Boyd;Raquel Welch;Edmond O'Brien;Donald Pleasence
8452,Leningrad,2009,Aleksandr Buravsky,Chris Solimine;Aleksandr Buravsky,Gabriel Byrne;Mira Sorvino;Armin Mueller-Stahl;Alexander Beyer
8453,Thani Oruvan,2015,M. Raja,M. Raja,Jayam Ravi;Arvind Swamy;Nayanthara;Vamsi Krishna
8454,Lake Placid: The Final Chapter,2012,Don Michael Paul,,Yancy Butler;Robert Englund;Daniel Black;Elisabeth Röhm
8455,The Quiet American,2002,Phillip Noyce,Graham Greene;Christopher Hampton;Robert Schenkkan,Michael Caine;Brendan Fraser;Do Thi Hai Yen;Tzi Ma
8456,Pokémon: The Rise of Darkrai,2007,Kunihiko Yuyama,Hideki Sonoda,Craig Blair;Emily Bauer;Sarah Natochenny;Ikue Ōtani
8457,Recess: School's Out,2001,Chuck Sheetz,,Rickey D'Shon Collins;Jason Davis;Ashley Johnson;Courtland Mead
8458,Five Easy Pieces,1970,Bob Rafelson,Carole Eastman,Jack Nicholson;Karen Black;Billy Green Bush;Fannie Flagg
8459,Age of Tomorrow,2014,James Kondelik,Bill Hanstock;Jacob Cooney,Kelly Hu;Anthony Marks;Robert Picardo;Lane Townsend
8460,Triple Dog,2010,Pascal Franchot ,Barbara Marshall,Scout Taylor-Compton;Britt Robertson;Alexia Fast;Janel Parrish
8461,,,,,
8462,Blood Shed,2014,Patrick Hasson;Juan Carlos Saizarbitoria,Patrick Hasson,Bai Ling;Vida Guerra;Bree Essrig;Lauren Aboulafia
8463,Restrepo,2010,Tim Hetherington;Sebastian Junger,,Juan 'Doc Restrepo;Dan Kearney;LaMonta Caldwell;Aron Hijar
8464,National Treasure 3,2017,Jon Turteltaub,,Nicolas Cage
8465,Deep Web,2015,Alex Winter,Alex Winter,Gavin Andresen;Ross Ulbricht;Cody Wilson;Keanu Reeves
8466,Blood Out,2011,Jason Hewitt,John A. O'Connell;Jason Hewitt,50 Cent;Val Kilmer;Luke Goss;Vinnie Jones
8467,The Other Woman,2009,Don Roos,Don Roos;Ayelet Waldman ,Natalie Portman;Lisa Kudrow;Lauren Ambrose;Anthony Rapp
8468,Unlawful Entry,1992,Jonathan Kaplan,George Putnam;John Katchmer,Kurt Russell;Ray Liotta;Madeleine Stowe;Roger E. Mosley
8469,Parkland,2013,Peter Landesman,Peter Landesman,Zac Efron;Billy Bob Thornton;Ron Livingston;Tom Welling
8470,Observe and Report,2009,Jody Hill,Jody Hill,Seth Rogen;Anna Faris;Michael Peña;Ray Liotta
8471,Murder Ahoy,1964,George Pollock,David Pursall;Jack Seddon;Agatha Christie,Margaret Rutherford;Lionel Jeffries;Bud Tingwell;William Mervyn
